,OLD_DATA,START_DATA
647,10/15/2008,2008/10/15
648,3/21/2012,2012/03/21
649,9/25/2007,2007/09/25
650,4/28/2006,2006/04/28
651,8/29/2015,2015/08/29
652,9/30/2008,2008/09/30
653,4/15/2014,2014/04/15
654,4/27/2008,2008/04/27
655,9/14/2009,2009/09/14
656,10/18/2015,2015/10/18
657,11/8/2014,2014/08/11
658,5/10/2007,2007/10/05
659,9/27/2011,2011/09/27
660,9/6/2014,2014/06/09
661,11/6/2009,2009/06/11
662,9/8/2006,2006/08/09
663,9/26/2009,2009/09/26
664,5/7/2009,2009/07/05
665,4/15/2013,2013/04/15
666,10/4/2014,2014/04/10
667,8/19/2011,2011/08/19
668,2/25/2016,2016/02/25
669,4/10/2006,2006/10/04
670,3/14/2014,2014/03/14
671,6/20/2014,2014/06/20
672,6/12/2008,2008/12/06
673,7/23/2010,2010/07/23
674,8/15/2007,2007/08/15
675,3/2/2007,2007/02/03
676,5/10/2015,2015/10/05
677,7/8/2012,2012/08/07
678,10/15/2011,2011/10/15
679,7/20/2012,2012/07/20
680,8/19/2010,2010/08/19
681,3/4/2015,2015/04/03
682,8/6/2010,2010/06/08
683,6/2/2014,2014/02/06
684,9/7/2006,2006/07/09
685,4/7/2011,2011/07/04
686,10/14/2012,2012/10/14
687,8/16/2009,2009/08/16
688,5/22/2008,2008/05/22
689,9/22/2015,2015/09/22
690,5/11/2005,2005/11/05
691,10/29/2013,2013/10/29
692,8/9/2012,2012/09/08
693,5/18/2013,2013/05/18
694,3/8/2005,2005/08/03
695,5/21/2006,2006/05/21
696,4/2/2014,2014/02/04
697,8/25/2011,2011/08/25
698,7/30/2007,2007/07/30
699,2/27/2014,2014/02/27
700,9/9/2009,2009/09/09
701,10/22/2012,2012/10/22
702,4/20/2005,2005/04/20
703,4/23/2007,2007/04/23
704,7/5/2011,2011/05/07
705,10/17/2006,2006/10/17
706,5/20/2012,2012/05/20
707,6/10/2014,2014/10/06
708,7/18/2010,2010/07/18
709,1/19/2014,2014/01/19
710,4/3/2015,2015/03/04
711,10/8/2012,2012/08/10
712,10/28/2006,2006/10/28
713,4/23/2011,2011/04/23
714,3/24/2011,2011/03/24
715,9/13/2006,2006/09/13
716,5/31/2012,2012/05/31
717,2/29/2016,2016/02/29
718,2/27/2014,2014/02/27
719,6/23/2009,2009/06/23
720,5/12/2015,2015/12/05
721,5/1/2008,2008/01/05
722,9/26/2008,2008/09/26
723,10/31/2014,2014/10/31
724,6/9/2009,2009/09/06
725,5/20/2006,2006/05/20
726,4/15/2014,2014/04/15
727,4/15/2009,2009/04/15
728,7/12/2007,2007/12/07
729,5/8/2007,2007/08/05
730,10/14/2006,2006/10/14
731,5/29/2009,2009/05/29
732,3/21/2014,2014/03/21
733,3/27/2006,2006/03/27
734,3/21/2013,2013/03/21
735,10/18/2006,2006/10/18
736,10/28/2006,2006/10/28
737,9/22/2011,2011/09/22
738,9/5/2007,2007/05/09
739,12/10/2006,2006/10/12
740,3/17/2015,2015/03/17
741,2/9/2011,2011/09/02
742,7/14/2005,2005/07/14
743,4/18/2014,2014/04/18
744,10/4/2009,2009/04/10
745,9/8/2008,2008/08/09
746,7/30/2008,2008/07/30
747,4/26/2010,2010/04/26
748,8/28/2014,2014/08/28
749,4/8/2006,2006/08/04
750,10/11/2008,2008/11/10
751,7/3/2011,2011/03/07
752,4/21/2012,2012/04/21
753,8/27/2009,2009/08/27
754,8/15/2007,2007/08/15
755,3/23/2010,2010/03/23
756,8/15/2008,2008/08/15
757,9/13/2011,2011/09/13
758,6/23/2006,2006/06/23
759,2/17/2014,2014/02/17
760,4/12/2013,2013/12/04
761,4/6/2009,2009/06/04
762,5/3/2011,2011/03/05
763,10/10/2007,2007/10/10
764,7/15/2009,2009/07/15
765,10/17/2008,2008/10/17
766,7/4/2015,2015/04/07
767,1/13/2011,2011/01/13
768,4/22/2014,2014/04/22
769,4/18/2008,2008/04/18
770,1/27/2014,2014/01/27
771,4/21/2006,2006/04/21
772,10/11/2008,2008/11/10
773,3/23/2008,2008/03/23
774,7/3/2014,2014/03/07
775,9/7/2011,2011/07/09
776,5/9/2013,2013/09/05
777,4/5/2012,2012/05/04
778,9/20/2012,2012/09/20
779,7/12/2014,2014/12/07
780,9/14/2008,2008/09/14
781,5/7/2011,2011/07/05
782,7/17/2012,2012/07/17
783,3/16/2007,2007/03/16
784,2/25/2007,2007/02/25
785,3/11/2016,2016/11/03
786,4/17/2013,2013/04/17
787,8/10/2007,2007/10/08
788,7/24/2008,2008/07/24
789,5/27/2009,2009/05/27
790,4/14/2012,2012/04/14
791,9/25/2015,2015/09/25
792,3/8/2016,2016/08/03
793,4/9/2007,2007/09/04
794,7/1/2008,2008/01/07
795,7/7/2011,2011/07/07
796,3/23/2014,2014/03/23
797,9/5/2010,2010/05/09
798,7/10/2015,2015/10/07
799,10/20/2008,2008/10/20
800,6/25/2012,2012/06/25
801,10/16/2012,2012/10/16
802,8/3/2010,2010/03/08
803,5/22/2007,2007/05/22
804,4/4/2011,2011/04/04
805,3/1/2016,2016/01/03
806,1/5/2008,2008/05/01
807,9/6/2013,2013/06/09
808,5/8/2008,2008/08/05
809,9/25/2012,2012/09/25
810,9/24/2015,2015/09/24
811,6/1/2006,2006/01/06
812,12/29/2015,2015/12/29
813,7/27/2015,2015/07/27
814,5/5/2005,2005/05/05
815,4/11/2012,2012/11/04
816,3/22/2007,2007/03/22
817,3/18/2010,2010/03/18
818,10/20/2006,2006/10/20
819,4/4/2013,2013/04/04
820,1/20/2014,2014/01/20
821,4/30/2009,2009/04/30
822,10/21/2007,2007/10/21
823,9/4/2009,2009/04/09
824,6/17/2011,2011/06/17
825,9/13/2011,2011/09/13
